claim_id,claim,domain,masculine_score
20932920_284_A104V8NZIQFN2F,Foreign language classes should be mandatory in college,Higher Education,4
10527395_0_A1CF6U3GF7DZEJ,Nuclear power is the answer to climate change,Energy Policy,5
7192051_342_A1DJNUJZN8FE7N,Organic food is worth the expense,Food and Nutrition,5
11526420_122_APW9F8OTJ4KXO,Court stenographers are not necessary,Legal System,5
16178496_0_A104V8NZIQFN2F,The bar is not too low to get into law school,Law School Admissions,6
13678655_0_A1DJNUJZN8FE7N,Young people are being irresponsible by delaying the rituals of adult life,Youth and Adulthood Transition,4
16986890_91_A1HKYY6XI2OHO1,It is not fair to rate professors online,Online Education Reviews,5
9557758_49_A3TKD7EJ6BM0M5,Queen Elizabeth II should not step down,British Monarchy,7
18200299_118_A1I4CYG5YDFTYM,Jail record should be an employer's first impression,Employment and Criminal Records,6
16146730_138_AB98SGS280TY5,Russia can be a partner,International Relations,7
6037518_387_A1I4CYG5YDFTYM,Prostitution is safer when it's legal,Sex Work Legislation,5
18866076_35_AYFOAD75CRBKE,Christians have not created a harmful atmosphere for gays,Religion and LGBT Rights,3
16683096_423_A1CF6U3GF7DZEJ,Europe should not shun refugees,Refugee Policy,5
20654771_153_AE861G0AY5RGT,Medicare doesn't need to be reformed,Healthcare Policy,5
17297009_179_AE861G0AY5RGT,Iran remains a threat,International Relations,8
14085948_448_A1CF6U3GF7DZEJ,Economists are overrated,Economics,5
12013086_252_A34QZDSTKZ3JO9,Tenure provides stability,Academic Employment,5
14370228_0_A104V8NZIQFN2F,Same-sex colleges are outdated,Higher Education,4
6103657_46_A1DJNUJZN8FE7N,Fees are necessary,Economics,5
15164629_468_A3C9GGDXBZW62D,Overcrowding is not a legitimate threat,Urban Planning,5
3234363_0_A1CF6U3GF7DZEJ,Extreme parenting is counterproductive,Parenting Styles,3
18369303_182_A1CF6U3GF7DZEJ,Google is a harmful monopoly,Antitrust Law,5
12536410_143_AE861G0AY5RGT,3-D printing will change the world,Technology Development,5
18007196_0_A1I4CYG5YDFTYM,Mother Teresa should not be canonized,Religion,4
2262077_390_A1CF6U3GF7DZEJ,TFA has not raised the status of teachers,Education Policy,5
13764758_641_A1I4CYG5YDFTYM,The threat has been exaggerated,Risk Assessment,5
14666389_480_A1CF6U3GF7DZEJ,Police is too willing to use force,Law Enforcement,8
14102517_999_APW9F8OTJ4KXO,Helping condo developers help the city,Urban Development,6
5477096_432_A34QZDSTKZ3JO9,Home-schoolers should not play for high school teams,Education Policy,5
3281388_291_A2GHGJP29KRWOQ,Wal-Mart can't make us healthier,Corporate Responsibility,5
4366654_0_A1HKYY6XI2OHO1,Farms could survive without illegal labor,Agriculture Labor,5
15372665_0_A1CF6U3GF7DZEJ,Greece should not abandon Euro,European Union Policy,5
9975147_345_A34QZDSTKZ3JO9,Miss America is good for women,Beauty Pageants,2
18248396_0_A1HKYY6XI2OHO1,Comment sections have failed,Online Communication,5
19120938_547_A1I4CYG5YDFTYM,Supreme court justice can denounce a candidate,Judicial Ethics,4
15418829_270_A2QVMCGDLTWV9,Supreme court is not too powerful,Judiciary Power,6
9853997_193_A3GNQDFPZALU92,Students should live on campus,Campus Policy,5
12629542_220_A1CF6U3GF7DZEJ,The U.S. should work with Assad to fight ISIS,International Relations,8
15986315_66_A1LZPWVZRTUZD0,Immigration is really a problem,Immigration Policy,5
6812058_695_A104V8NZIQFN2F,Doping should be allowed,Sports Ethics,5
9043593_0_AE861G0AY5RGT,Rim should be raised,Basketball,9
9846734_338_A247LJDZOGXJK6,Teachers do not need to have experience,Education Policy,5
16634255_46_A247LJDZOGXJK6,Drug addicts should not be forced into treatment,Drug Policy,5
6006832_105_A1I4CYG5YDFTYM,We do not need more advice about eating well,Nutrition Guidance,3
6129077_395_A34QZDSTKZ3JO9,Veganism is good for everyone,Dietary Choices,4
3526042_138_A3TKD7EJ6BM0M5,New York's bike lanes are not working,Urban Transportation,5
2341049_117_A34QZDSTKZ3JO9,We should not manipulate our dreams,Dream Manipulation,4
3651490_320_A104V8NZIQFN2F,Online classes are not the best way to teach,Education Methodology,4
4839122_716_A104V8NZIQFN2F,Voting should not be mandatory,Voting Policy,5
15885882_232_AE861G0AY5RGT,Abolish Birthright Citizenship,Immigration Policy,5
13238401_0_A1CF6U3GF7DZEJ,Voting should be a constitutional right,Voting Rights,5
5654207_0_A1CF6U3GF7DZEJ,College free for everyone,Higher Education Policy,5
12004909_78_A104V8NZIQFN2F,Businesses should be allowed to have new employees sign noncompete deals,Employment Policy,5
11163402_303_A34QZDSTKZ3JO9,All immigrants should get ID cards,Immigration Policy,5
6207424_0_A3PILUAB7LZGWQ,Dual citizenship should not be allowed,Citizenship Policy,5
6030836_0_A2D7S8Y2FAUWMC,Wealthy colleges deserve tax breaks,Higher Education Policy,5
4964300_22_AE861G0AY5RGT,Legislation should not protect obese,Health Policy,5
8832426_496_A3C9GGDXBZW62D,Drop sports program in undergraduate schools,Higher Education Policy,5
14256738_141_A2D7S8Y2FAUWMC,Women should not be encouraged to have kids at home,Maternal Health,2
11408162_344_A1DJNUJZN8FE7N,Vaccination should not be mandatory for all children,Public Health Policy,5
